xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
55.0,38.0,323.0,57.0,BUSINESS       EXPENSE       VOUCHER,other,Employe*       Name          Roger       L.       Mozir.go,31.5,1,Date       Prepared          02/20/97,233.5,4,31.5,233.5
58.0,64.0,159.0,94.0,Employe*       Name          Roger       L.       Mozir.go,supplier,)          VP.       Slate       Government       Relations          Reynolds       11th          Government       Relations,40.5,2,Account       Number          75586          Extension       Number          (910)       741-7665,178.5,3,-1.0,-1.0
62.0,92.0,241.0,147.0,)          VP.       Slate       Government       Relations          Reynolds       11th          Government       Relations,supplier,DESTINATION(S),51.5,10,Account       Number          75586          Extension       Number          (910)       741-7665,135.5,3,-1.0,135.5
240.0,64.0,334.0,118.0,Account       Number          75586          Extension       Number          (910)       741-7665,supplier,)          VP.       Slate       Government       Relations          Reynolds       11th          Government       Relations,28.5,2,Return       to:,136.0,7,28.5,136.0
381.0,29.0,464.0,60.0,Date       Prepared          02/20/97,other,Return       to:,60.5,7,Page          lot       1,71.5,5,60.5,71.5
464.0,29.0,524.0,60.0,Page          lot       1,other,iff       4       *',59.5,8,Disbursement       Accounting       Uso       ONLY          8.75,123.5,6,59.5,123.5
524.0,27.0,711.0,60.0,Disbursement       Accounting       Uso       ONLY          8.75,other,Page          lot       1,1.0,5,,0.0,-1,1.0,0.0
381.0,60.0,465.0,150.0,Return       to:,other,PURPOSE       OF       TRIP,63.5,12,iff       4       *',195.0,8,63.5,195.0
524.0,58.0,712.0,150.0,iff       4       *',other,PURPOSE       OF       TRIP,64.5,12,,0.0,-1,-1.0,0.0
55.0,163.0,147.0,180.0,DEPART       DATE,other,"West       Palm       Beach,       PL",15.0,14,DESTINATION(S),142.5,10,-1.0,142.5
147.0,162.0,340.0,180.0,DESTINATION(S),other,DEPART       DATE,0.5,9,RETURN       DATE,141.5,11,0.5,141.5
340.0,161.0,430.0,179.0,RETURN       DATE,other,DESTINATION(S),1.0,10,PURPOSE       OF       TRIP,185.5,12,1.0,185.5
430.0,159.0,711.0,178.0,PURPOSE       OF       TRIP,other,RETURN       DATE,1.5,11,,0.0,-1,1.5,0.0
55.0,180.0,147.0,194.0,02/17/97,other,DAY       OF       THE       WEEK,52.5,17,"West       Palm       Beach,       PL",142.5,14,-1.0,142.5
147.0,179.0,340.0,194.0,"West       Palm       Beach,       PL",other,02/17/97,0.5,13,02/20/97,141.5,15,0.5,141.5
340.0,178.0,430.0,193.0,02/20/97,other,"West       Palm       Beach,       PL",1.0,14,Pennsylvania       Legislative       Outing.,185.5,16,1.0,185.5
430.0,176.0,711.0,192.0,Pennsylvania       Legislative       Outing.,other,02/20/97,1.5,15,,0.0,-1,1.5,0.0
54.0,231.0,208.0,248.0,DAY       OF       THE       WEEK,positions,17-Feb-97,15.5,27,Monday,107.0,18,-1.0,107.0
208.0,230.0,268.0,248.0,Monday,positions,DAY       OF       THE       WEEK,0.5,17,Tuesday,61.0,19,0.5,61.0
