xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
275.0,55.0,503.0,73.0,BSMG       WORLDWIDE,supplier,"May       31,       2001",83.5,2,,0.0,-1,83.5,0.0
141.0,72.0,146.0,78.0,«,other,"LORILLARD       TOBACCO       COMPANY          Mr.       Victor       UndsIcy          Group       Brand       Director          714       Green       Valley       Road          P.O.       Box       10529          Greensboro,       NC       27408",135.0,3,BSMG       WORLDWIDE,245.5,0,135.0,245.5
479.0,141.0,573.0,154.0,"May       31,       2001",invoice_info,"Please       Remit       Payment       to:          BSMG       Worldwide,       Inc.          P.O.       Box       100583          Atlanta,       GA       30384-0583          USA",73.0,4,,0.0,-1,73.0,0.0
57.0,166.0,255.0,254.0,"LORILLARD       TOBACCO       COMPANY          Mr.       Victor       UndsIcy          Group       Brand       Director          714       Green       Valley       Road          P.O.       Box       10529          Greensboro,       NC       27408",receiver,Period       of       Service:       May       2001,97.0,5,"Please       Remit       Payment       to:          BSMG       Worldwide,       Inc.          P.O.       Box       100583          Atlanta,       GA       30384-0583          USA",414.0,4,97.0,414.0
477.0,185.0,663.0,256.0,"Please       Remit       Payment       to:          BSMG       Worldwide,       Inc.          P.O.       Box       100583          Atlanta,       GA       30384-0583          USA",receiver,Matter       No:       08846          Invoice       #       207685,82.5,6,,0.0,-1,82.5,0.0
57.0,299.0,268.0,315.0,Period       of       Service:       May       2001,other,"YOUTH       SMOKING       PREVENTION       PROGRAM          MARKETING       COMMUNICATIONS       -       CHICAGO,       IL          For       Professional       Services       Rendered:       $42,702.75          Contest       Coordination/Judging       37,729.75          Announcement       Media       Relations       4,973.00",112.5,7,Matter       No:       08846          Invoice       #       207685,377.0,6,112.5,377.0
476.0,289.0,603.0,317.0,Matter       No:       08846          Invoice       #       207685,invoice_info,"YOUTH       SMOKING       PREVENTION       PROGRAM          MARKETING       COMMUNICATIONS       -       CHICAGO,       IL          For       Professional       Services       Rendered:       $42,702.75          Contest       Coordination/Judging       37,729.75          Announcement       Media       Relations       4,973.00",116.5,7,,0.0,-1,-1.0,0.0
55.0,359.0,695.0,480.0,"YOUTH       SMOKING       PREVENTION       PROGRAM          MARKETING       COMMUNICATIONS       -       CHICAGO,       IL          For       Professional       Services       Rendered:       $42,702.75          Contest       Coordination/Judging       37,729.75          Announcement       Media       Relations       4,973.00",positions,Expenses:,95.0,8,,0.0,-1,95.0,0.0
55.0,508.0,124.0,521.0,Expenses:,positions,Travel       And       Subsistence          Hugh       Williams       91.55          Hugh       williams       68.34          Total       Travel       And       Subsistence          Clipping       Service          Burrelle's       Information       349.30          Total       Clipping       Service          Overnight       Courier          Federal       Express       10.87          Federal       Express       35.35          Total       Overnight       Courier          Press       Releases          Associated       Release       Service       370.00          Associated       Release       Service       200.00          Associated       Release       Service       348.00          Total       Press       Releases,163.5,9,"$24,584.35",565.5,10,163.5,565.5
106.0,537.0,500.0,819.0,Travel       And       Subsistence          Hugh       Williams       91.55          Hugh       williams       68.34          Total       Travel       And       Subsistence          Clipping       Service          Burrelle's       Information       349.30          Total       Clipping       Service          Overnight       Courier          Federal       Express       10.87          Federal       Express       35.35          Total       Overnight       Courier          Press       Releases          Associated       Release       Service       370.00          Associated       Release       Service       200.00          Associated       Release       Service       348.00          Total       Press       Releases,positions,"6,978.74",180.0,16,918.00,270.5,14,180.0,270.5
616.0,512.0,694.0,525.0,"$24,584.35",positions,92891078,355.0,19,,0.0,-1,355.0,0.0
552.0,586.0,599.0,598.0,159.89,positions,349.30,58.5,12,,0.0,-1,58.5,0.0
552.0,644.0,598.0,657.0,349.30,positions,46.22,74.0,13,,0.0,-1,74.0,0.0
558.0,718.0,597.0,731.0,46.22,positions,918.00,89.5,14,,0.0,-1,89.5,0.0
550.0,808.0,597.0,820.0,918.00,positions,"6,978.74",60.5,17,,0.0,-1,60.5,0.0
105.0,833.0,332.0,907.0,Printing          Unique       Printers          Total       Printing          special       Materials       For       Client,positions,676       N       Si.       Clair       Chicago       Illinois       60611*2976       JS2-988-2400       Fax       312*988*2363,73.0,18,"6,978.74",245.0,16,-1.0,245.0
432.0,851.0,495.0,865.0,"6,978.74",positions,676       N       Si.       Clair       Chicago       Illinois       60611*2976       JS2-988-2400       Fax       312*988*2363,85.0,18,92891078,239.0,19,-1.0,-1.0
533.0,868.0,596.0,881.0,"6,978.74",positions,676       N       Si.       Clair       Chicago       Illinois       60611*2976       JS2-988-2400       Fax       312*988*2363,68.5,18,92891078,138.0,19,68.5,138.0
157.0,935.0,604.0,951.0,676       N       Si.       Clair       Chicago       Illinois       60611*2976       JS2-988-2400       Fax       312*988*2363,supplier,,0.0,-1,,0.0,-1,0.0,0.0
692.0,820.0,713.0,927.0,92891078,other,,0.0,-1,,0.0,-1,0.0,0.0
