xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
204.0,103.0,528.0,118.0,POLITICAL       CAMPAIGN       CONTRIBUTION       REQUEST,other,State       or       Local:       State,53.0,2,,0.0,-1,53.0,0.0
54.0,161.0,238.0,176.0,"Date:       August       24,       1994",invoice_info,Jim       Johanson,105.5,5,State       or       Local:       State,373.0,2,-1.0,373.0
427.0,157.0,611.0,170.0,State       or       Local:       State,other,RECIPIENT       INFORMATION,69.0,3,,0.0,-1,69.0,0.0
279.0,226.0,454.0,239.0,RECIPIENT       INFORMATION,receiver,Jim       Johanson,41.5,5,,0.0,-1,41.5,0.0
54.0,271.0,95.0,283.0,Name:,receiver,"Address:       1308       Mill       Creek       Blvd.       F0-108          Mill       creek,       wa       98012          Current       Office          and       District:       Representative-District       44          Aspired       Office          and       District:",79.5,6,Jim       Johanson,213.0,5,79.5,213.0
237.0,267.0,338.0,281.0,Jim       Johanson,receiver,"Address:       1308       Mill       Creek       Blvd.       F0-108          Mill       creek,       wa       98012          Current       Office          and       District:       Representative-District       44          Aspired       Office          and       District:",82.5,6,,0.0,-1,-1.0,0.0
54.0,307.0,479.0,406.0,"Address:       1308       Mill       Creek       Blvd.       F0-108          Mill       creek,       wa       98012          Current       Office          and       District:       Representative-District       44          Aspired       Office          and       District:",receiver,Democrat          n/a          n/a,97.0,8,,0.0,-1,97.0,0.0
54.0,420.0,220.0,488.0,Party          Leadership       Position:          Committees:,receiver,CONTRIBUTION       INFORMATION          Amount:       $100.00       Account       Code:       1401-7710-WA01          Chock       Pay       to:       Committee       to       Elect       Jim       Johanson          Address:,127.0,9,Democrat          n/a          n/a,134.5,8,127.0,134.5
237.0,420.0,306.0,487.0,Democrat          n/a          n/a,receiver,CONTRIBUTION       INFORMATION          Amount:       $100.00       Account       Code:       1401-7710-WA01          Chock       Pay       to:       Committee       to       Elect       Jim       Johanson          Address:,127.5,9,,0.0,-1,-1.0,0.0
51.0,525.0,672.0,637.0,CONTRIBUTION       INFORMATION          Amount:       $100.00       Account       Code:       1401-7710-WA01          Chock       Pay       to:       Committee       to       Elect       Jim       Johanson          Address:,other,(Only       if       different       from       address       above),89.0,10,,0.0,-1,89.0,0.0
70.0,660.0,387.0,680.0,(Only       if       different       from       address       above),other,Not«,28.5,11,,0.0,-1,28.5,0.0
52.0,692.0,83.0,705.0,Not«,other,(Date       needed;       fundraiser       date;       other       information),12.5,12,,0.0,-1,12.5,0.0
71.0,702.0,476.0,720.0,(Date       needed;       fundraiser       date;       other       information),other,Approved       by:,43.5,13,,0.0,-1,43.5,0.0
51.0,746.0,156.0,763.0,Approved       by:,other,,0.0,-1,s       signature),391.5,14,0.0,391.5
444.0,758.0,546.0,771.0,s       signature),other,(Senior       Vice       President's       signature),53.0,15,,0.0,-1,53.0,0.0
244.0,807.0,538.0,828.0,(Senior       Vice       President's       signature),other,,0.0,-1,,0.0,-1,0.0,0.0
640.0,963.0,724.0,977.0,TI1631-1155,other,,0.0,-1,,0.0,-1,0.0,0.0
