xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
407.0,89.0,674.0,104.0,CENTER       FOR       INDOOR       AIR       RESEARCH,supplier,"1099       Winteraon       Road,       Suite       280          Linthicum,       MjryUnd       21090          (300       684       -3777",49.0,1,,0.0,-1,49.0,0.0
532.0,128.0,674.0,163.0,"1099       Winteraon       Road,       Suite       280          Linthicum,       MjryUnd       21090          (300       684       -3777",supplier,"March       30,       1989",166.5,3,,0.0,-1,166.5,0.0
366.0,248.0,416.0,259.0,INVOICE,other,March       Assessment       Received,272.5,5,,0.0,-1,-1.0,0.0
526.0,306.0,624.0,318.0,"March       30,       1989",invoice_info,"($42,532.40)",215.0,6,,0.0,-1,215.0,0.0
134.0,361.0,345.0,433.0,"Lorlllard       Corporation          P.0.       Box       21688          Greensboro,       NC       27420-1688          Attention:       Dr.       Alex       W.       Spears",receiver,March       Assessment       Received,129.0,5,,0.0,-1,129.0,0.0
217.0,520.0,395.0,532.0,March       Assessment       Received,positions,April       Assessment       for       CIAR,30.0,7,"($42,532.40)",234.5,6,30.0,234.5
500.0,520.0,581.0,534.0,"($42,532.40)",positions,"42,552.40",30.5,8,,0.0,-1,30.5,0.0
217.0,549.0,396.0,563.0,April       Assessment       for       CIAR,positions,BALANCE,41.5,9,"42,552.40",237.5,8,41.5,237.5
512.0,550.0,576.0,565.0,"42,552.40",positions,"$42,552.40",41.0,10,,0.0,-1,41.0,0.0
302.0,592.0,353.0,603.0,BALANCE,total,"Payable       by       April       20,       1989",114.0,11,"$42,552.40",213.5,10,114.0,213.5
506.0,592.0,576.0,605.0,"$42,552.40",total,,0.0,-1,,0.0,-1,0.0,0.0
134.0,705.0,310.0,718.0,"Payable       by       April       20,       1989",other,,0.0,-1,,0.0,-1,0.0,0.0
