xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
362.0,88.0,444.0,112.0,ARIA,supplier,Associates       For       Research       On       Indoor       Air          Coordinator       G.B.       LESLIE.       F.R.C.       Path.,52.0,1,,0.0,-1,52.0,0.0
219.0,132.0,581.0,172.0,Associates       For       Research       On       Indoor       Air          Coordinator       G.B.       LESLIE.       F.R.C.       Path.,supplier,2       Ivel       Gardens          Biggleswade          Beds.       SGI8       0AN.       England          Tel:       (0)767       318474          Fat       (0)767       313929,63.0,2,,0.0,-1,63.0,0.0
545.0,178.0,692.0,252.0,2       Ivel       Gardens          Biggleswade          Beds.       SGI8       0AN.       England          Tel:       (0)767       318474          Fat       (0)767       313929,supplier,"C       2,593.96       ^",342.0,8,,0.0,-1,342.0,0.0
132.0,267.0,344.0,355.0,J       Rupp       Esq          Covington       &       Burling          1201       Pennsylvania       Avenue          Washington       DC          20007          USA,receiver,10th       August       1992,82.5,4,,0.0,-1,82.5,0.0
132.0,386.0,271.0,401.0,10th       August       1992,invoice_info,TOTALS,87.5,6,,0.0,-1,87.5,0.0
307.0,445.0,489.0,462.0,INVOICE       -       UK       &       Europe,other,Professional       Fees          Expenses          Payments       to       Consultants          Office       Expenses,79.5,7,,0.0,-1,-1.0,0.0
129.0,474.0,184.0,488.0,TOTALS,positions,Professional       Fees          Expenses          Payments       to       Consultants          Office       Expenses,52.0,7,,0.0,-1,52.0,0.0
128.0,502.0,331.0,564.0,Professional       Fees          Expenses          Payments       to       Consultants          Office       Expenses,positions,@       £1.00       =       2.54       Swiss       Francs,80.5,10,"C       2,593.96       ^",299.0,8,80.5,299.0
470.0,548.0,587.0,566.0,"C       2,593.96       ^",positions,"TOTAL       £33,533.94       ^",28.5,9,,0.0,-1,28.5,0.0
407.0,576.0,591.0,595.0,"TOTAL       £33,533.94       ^",total,"-       85,176.21       Swiss       Francs",58.5,11,,0.0,-1,-1.0,0.0
155.0,606.0,399.0,621.0,@       £1.00       =       2.54       Swiss       Francs,other,"-       85,176.21       Swiss       Francs",30.5,11,,0.0,-1,30.5,0.0
293.0,636.0,502.0,652.0,"-       85,176.21       Swiss       Francs",other,Please       pay       into       account       CQUE       384.168       at       the       Luzurn       branch       of          the       Union       Bank       of       Switzerland,36.0,12,,0.0,-1,36.0,0.0
126.0,664.0,651.0,696.0,Please       pay       into       account       CQUE       384.168       at       the       Luzurn       branch       of          the       Union       Bank       of       Switzerland,other,,0.0,-1,,0.0,-1,0.0,0.0
674.0,793.0,696.0,931.0,2023592499,other,,0.0,-1,,0.0,-1,0.0,0.0
