xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
307.0,74.0,437.0,139.0,Bozcll          40       KEST       23RD       STREET          NEW       YORK.       NY       10010-5201,supplier,INVOICE       CATE       DEC11/01       INVOICE       PR12-318793          DUE       DATE       DEC       31/01       PASB       1,53.5,1,,0.0,-1,53.5,0.0
85.0,149.0,614.0,171.0,INVOICE       CATE       DEC11/01       INVOICE       PR12-318793          DUE       DATE       DEC       31/01       PASB       1,other,URL       LORILIARD       TOBACCO       COMPANY       INC.          YSPP       YOUTH       SMOKING       PREVENTION       PROG.          H71J4       Parent       Ad       -       Girl       Kiaa       Boo-Boo          2001,41.0,3,,0.0,-1,41.0,0.0
84.0,182.0,136.0,221.0,C01EXT          PRODUCT          JOB       NUN          PISCAD       YR,receiver,Thj.       is       a       Pins!       Bill,56.5,5,URL       LORILIARD       TOBACCO       COMPANY       INC.          YSPP       YOUTH       SMOKING       PREVENTION       PROG.          H71J4       Parent       Ad       -       Girl       Kiaa       Boo-Boo          2001,147.0,3,56.5,147.0
157.0,181.0,357.0,221.0,URL       LORILIARD       TOBACCO       COMPANY       INC.          YSPP       YOUTH       SMOKING       PREVENTION       PROG.          H71J4       Parent       Ad       -       Girl       Kiaa       Boo-Boo          2001,receiver,Thj.       is       a       Pins!       Bill,57.0,5,"bDRILLARD       TOBACCO       COMPANY       INC.          YOUTH       SMOKING       PREVENTION       PRGM.          714       CRBEN       VALLEY       RD,       BOX       10529          GREENSBORO       NC       27404          ATTNs       JORDAN       BR8SSLRR",273.0,4,-1.0,273.0
446.0,180.0,614.0,229.0,"bDRILLARD       TOBACCO       COMPANY       INC.          YOUTH       SMOKING       PREVENTION       PRGM.          714       CRBEN       VALLEY       RD,       BOX       10529          GREENSBORO       NC       27404          ATTNs       JORDAN       BR8SSLRR",receiver,Invoice       Amt          351.81          0.00          0.00          351.81,90.0,8,,0.0,-1,90.0,0.0
81.0,252.0,199.0,264.0,Thj.       is       a       Pins!       Bill,positions,Non       C»™ioalcnabl«       cnasgoE          Coomiasionabl*       Charges          Agency       Coonisalon          Invoice       Aaount,49.5,6,Invoice       Amt          351.81          0.00          0.00          351.81,442.0,8,49.5,-1.0
80.0,272.0,233.0,343.0,Non       C»™ioalcnabl«       cnasgoE          Coomiasionabl*       Charges          Agency       Coonisalon          Invoice       Aaount,positions,Previously       Silled,245.0,9,Invoice       Amt          351.81          0.00          0.00          351.81,425.5,8,245.0,425.5
267.0,354.0,429.0,363.0,PLEASE       PAY       THIS       AMOUNT       3S1.81,total,ORIGINAL,557.0,12,,0.0,-1,557.0,0.0
551.0,248.0,613.0,341.0,Invoice       Amt          351.81          0.00          0.00          351.81,positions,T-SH+S-JFRl          502ELL       WORLDWIDE.       INC.          P.0.       BOX       198261          ATfANTA.       GA       30384-8261,271.5,11,,0.0,-1,271.5,0.0
79.0,547.0,181.0,558.0,Previously       Silled,other,PS10-017783       OCT05/01       1640.00          PP11-019019       MOV06/01       $299.44,14.5,10,T-SH+S-JFRl          502ELL       WORLDWIDE.       INC.          P.0.       BOX       198261          ATfANTA.       GA       30384-8261,368.5,11,14.5,-1.0
79.0,557.0,252.0,577.0,PS10-017783       OCT05/01       1640.00          PP11-019019       MOV06/01       $299.44,other,,0.0,-1,T-SH+S-JFRl          502ELL       WORLDWIDE.       INC.          P.0.       BOX       198261          ATfANTA.       GA       30384-8261,333.0,11,0.0,333.0
437.0,546.0,560.0,586.0,T-SH+S-JFRl          502ELL       WORLDWIDE.       INC.          P.0.       BOX       198261          ATfANTA.       GA       30384-8261,supplier,,0.0,-1,,0.0,-1,0.0,0.0
346.0,910.0,404.0,921.0,ORIGINAL,other,,0.0,-1,,0.0,-1,0.0,0.0
664.0,746.0,683.0,843.0,99380808,other,,0.0,-1,,0.0,-1,0.0,0.0
