xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
641.0,964.0,722.0,976.0,Til       613-1011,other,,0.0,-1,,0.0,-1,0.0,0.0
102.0,103.0,380.0,241.0,"METROCALL          Invoice       date:       11/01/96          107515          WILSON       SCOTT          8624       FT       HUNT       RD          ALEXANDRIA,       VA       22308",supplier,RBFEKKNtfi,96.0,3,KOH       RILLINC          INQUIRIES       CAM.:,205.0,4,96.0,205.0
62.0,264.0,90.0,272.0,DATT,positions,"Late       payment       charge          on       amount       of       21.87          IMPORTANT       NOTE:          TRANSACTIONS       PROCESSED       AFTER       THE       20TH       DAY,          MAY       APPEAR       ON       YOUR       NEXT       MONTH’S       BILL",112.0,10,RBFEKKNtfi,118.5,3,-1.0,118.5
168.0,264.0,221.0,272.0,RBFEKKNtfi,positions,"Late       payment       charge          on       amount       of       21.87          IMPORTANT       NOTE:          TRANSACTIONS       PROCESSED       AFTER       THE       20TH       DAY,          MAY       APPEAR       ON       YOUR       NEXT       MONTH’S       BILL",112.0,10,,0.0,-1,-1.0,0.0
404.0,96.0,488.0,118.0,KOH       RILLINC          INQUIRIES       CAM.:,receiver,YOUR       LOCAL          OFFICE       IS:,37.0,5,"INVOICE       *:       06420685          1       (800)       553-7836          Metrocall          6677       Richmond       Hwy          Alexandria,       VA       22306          107515",141.0,7,37.0,-1.0
423.0,134.0,489.0,154.0,YOUR       LOCAL          OFFICE       IS:,receiver,ACCOUNT       NO.:          CONTACT:,64.5,6,"INVOICE       *:       06420685          1       (800)       553-7836          Metrocall          6677       Richmond       Hwy          Alexandria,       VA       22306          107515",131.0,7,64.5,131.0
416.0,192.0,488.0,225.0,ACCOUNT       NO.:          CONTACT:,receiver,PC)       NUMBER:,39.0,8,"INVOICE       *:       06420685          1       (800)       553-7836          Metrocall          6677       Richmond       Hwy          Alexandria,       VA       22306          107515",135.0,7,39.0,-1.0
501.0,112.0,673.0,211.0,"INVOICE       *:       06420685          1       (800)       553-7836          Metrocall          6677       Richmond       Hwy          Alexandria,       VA       22306          107515",receiver,22.20          22.20          0.33,166.5,13,,0.0,-1,166.5,0.0
420.0,243.0,488.0,252.0,PC)       NUMBER:,receiver,"Late       payment       charge          on       amount       of       21.87          IMPORTANT       NOTE:          TRANSACTIONS       PROCESSED       AFTER       THE       20TH       DAY,          MAY       APPEAR       ON       YOUR       NEXT       MONTH’S       BILL",132.5,10,,0.0,-1,-1.0,0.0
270.0,294.0,410.0,332.0,PRIOR       BALANCE          BEGINNING       BALANCE,positions,"Late       payment       charge          on       amount       of       21.87          IMPORTANT       NOTE:          TRANSACTIONS       PROCESSED       AFTER       THE       20TH       DAY,          MAY       APPEAR       ON       YOUR       NEXT       MONTH’S       BILL",67.0,10,22.20          22.20          0.33,312.0,13,67.0,312.0
48.0,347.0,434.0,413.0,"Late       payment       charge          on       amount       of       21.87          IMPORTANT       NOTE:          TRANSACTIONS       PROCESSED       AFTER       THE       20TH       DAY,          MAY       APPEAR       ON       YOUR       NEXT       MONTH’S       BILL",positions,TOTAL       CURRENT       CHARGES,55.0,11,22.20          22.20          0.33,411.0,13,55.0,-1.0
270.0,429.0,443.0,441.0,TOTAL       CURRENT       CHARGES,total,PLEASE       PAY       THIS       AMOUNT,27.5,12,0.33          22.53,295.0,14,27.5,-1.0
270.0,457.0,451.0,468.0,PLEASE       PAY       THIS       AMOUNT,total,W.EASE       SEE       REVERSE       SIDE       Pftft       IMPORTANT       INFORMATION,208.0,15,0.33          22.53,291.0,14,208.0,291.0
632.0,295.0,672.0,361.0,22.20          22.20          0.33,positions,0.33          22.53,122.5,14,,0.0,-1,122.5,0.0
631.0,431.0,672.0,470.0,0.33          22.53,total,FINAL       NOTICE!       Payment       in       full       must       be          received       within       10       days       or       your       account       will          bg       forwarded       to       Metrocall’s.1,258.0,22,,0.0,-1,258.0,0.0
221.0,665.0,501.0,676.0,W.EASE       SEE       REVERSE       SIDE       Pftft       IMPORTANT       INFORMATION,other,MCTGOCALL,33.5,21,,0.0,-1,33.5,0.0
22.0,682.0,37.0,691.0,r,other,ACCOUNT       NUMBER,44.0,17,MCTGOCALL,106.5,21,-1.0,106.5
25.0,723.0,190.0,738.0,ACCOUNT       NUMBER,positions,107515,22.0,19,CURRANT,132.5,18,22.0,132.5
190.0,723.0,290.0,738.0,CURRANT,positions,107515,22.0,19,»DAYa,97.5,23,22.0,97.5
25.0,738.0,190.0,767.0,107515,positions,CUSTOMER,22.0,26,0.33,132.5,20,22.0,132.5
190.0,738.0,290.0,767.0,0.33,positions,WILSON       SCOTT          INVOICE       «:       06420685,36.0,27,0.33,111.5,24,36.0,111.5
42.0,689.0,230.0,719.0,MCTGOCALL,supplier,ACCOUNT       NUMBER,26.5,17,FINAL       NOTICE!       Payment       in       full       must       be          received       within       10       days       or       your       account       will          bg       forwarded       to       Metrocall’s.1,363.0,22,26.5,-1.0
315.0,688.0,683.0,729.0,FINAL       NOTICE!       Payment       in       full       must       be          received       within       10       days       or       your       account       will          bg       forwarded       to       Metrocall’s.1,supplier,»DAYa,23.0,23,,0.0,-1,23.0,0.0
318.0,727.0,357.0,736.0,»DAYa,positions,0.33,16.0,24,FINAL       NOTICE!       Payment       in       full       must       be          received       within       10       days       or       your       account       will          bg       forwarded       to       Metrocall’s.1,161.5,22,16.0,161.5
332.0,741.0,371.0,754.0,0.33,positions,0010751500000033000022533,82.0,30,22.53,309.5,25,-1.0,309.5
639.0,744.0,683.0,755.0,22.53,positions,Til       613-1011,220.5,0,,0.0,-1,220.5,0.0
42.0,770.0,104.0,779.0,CUSTOMER,supplier,MAKE       CHECK       PAYABLE       TO:,51.0,29,WILSON       SCOTT          INVOICE       «:       06420685,151.5,27,-1.0,151.5
144.0,769.0,305.0,808.0,WILSON       SCOTT          INVOICE       «:       06420685,supplier,MAKE       CHECK       PAYABLE       TO:,37.0,29,Payment       Due:       11/19/96          AMOUNT       PAID,306.5,28,37.0,306.5
439.0,769.0,623.0,805.0,Payment       Due:       11/19/96          AMOUNT       PAID,other,0010751500000033000022533,42.5,30,,0.0,-1,42.5,0.0
42.0,821.0,185.0,830.0,MAKE       CHECK       PAYABLE       TO:,other,"Metrocall          P.O.       Box       79058          Baltimore,       MD       21279-0058",57.5,31,0010751500000033000022533,291.0,30,-1.0,291.0
299.0,823.0,510.0,836.0,0010751500000033000022533,other,"Metrocall          P.O.       Box       79058          Baltimore,       MD       21279-0058",53.5,31,,0.0,-1,53.5,0.0
114.0,863.0,318.0,903.0,"Metrocall          P.O.       Box       79058          Baltimore,       MD       21279-0058",supplier,,0.0,-1,PLEASE       RETURN       THIS       PORTION       WITH       TOUR       CHRCK          ENTER       CHANCE       OP       ADDRESS       ON       BACK,298.0,32,0.0,298.0
391.0,876.0,637.0,902.0,PLEASE       RETURN       THIS       PORTION       WITH       TOUR       CHRCK          ENTER       CHANCE       OP       ADDRESS       ON       BACK,other,,0.0,-1,,0.0,-1,0.0,0.0
