xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
56.0,71.0,170.0,83.0,09/22/1999       16:27,other,"BILL       TO       DATE       EO#          PHILIP       MORRIS       USA       9/22/99       5045B          Marlboro       Racing          120       Park       Ave          New       York,       NY       10017-5592",249.5,4,3103663829,116.0,1,-1.0,116.0
195.0,73.0,263.0,83.0,3103663829,other,"BILL       TO       DATE       EO#          PHILIP       MORRIS       USA       9/22/99       5045B          Marlboro       Racing          120       Park       Ave          New       York,       NY       10017-5592",248.5,4,CAL       CEL,174.5,2,-1.0,174.5
380.0,74.0,427.0,85.0,CAL       CEL,other,"BILL       TO       DATE       EO#          PHILIP       MORRIS       USA       9/22/99       5045B          Marlboro       Racing          120       Park       Ave          New       York,       NY       10017-5592",247.0,4,PAGE       03,236.5,3,247.0,236.5
612.0,75.0,668.0,86.0,PAGE       03,invoice_info,2080724769,792.5,16,,0.0,-1,792.5,0.0
86.0,286.0,592.0,367.0,"BILL       TO       DATE       EO#          PHILIP       MORRIS       USA       9/22/99       5045B          Marlboro       Racing          120       Park       Ave          New       York,       NY       10017-5592",receiver,EBQQILCER          D»vW       Stephens,102.5,8,,0.0,-1,102.5,0.0
85.0,416.0,160.0,443.0,TERMS          Due       on       receipt,other,QUANTITY,33.5,6,10/31/99,197.5,7,33.5,197.5
85.0,457.0,151.0,469.0,QUANTITY,other,"EXECUTIVE       RESTROOMS       S       3,900.00          ENTERTAINMENT       S       6,500.00          DISC       JOCKEY       S       3,431.0©          RENTALS       S34,063.00          SECURITY       GUARDS       S       1,290.00          VALET       PARKING       S       950.00          TAROT       CARD       READERS       S       1       J00.00          SIGNAGE       S       450.00T          NEON       SIGNS       S       880.00          Sale*       Tax       8.25%       S       37.13          TOTAL       INVOICE       552,801.13          DEPOSIT       DUE       9/27/99       S2S.907.00          BALANCE       DUE       11/30/99       S26.894.13",204.0,13,DESCRIPTION,207.5,9,-1.0,207.5
296.0,429.0,344.0,440.0,10/31/99,other,DESCRIPTION,28.0,9,EBQQILCER          D»vW       Stephens,185.0,8,28.0,185.0
462.0,416.0,548.0,442.0,EBQQILCER          D»vW       Stephens,other,AMOUNT,32.5,11,,0.0,-1,32.5,0.0
283.0,457.0,368.0,468.0,DESCRIPTION,other,EXHIBIT       B          DEPOSn       REQUEST,47.5,12,RATE,114.5,10,47.5,114.5
420.0,457.0,460.0,468.0,RATE,other,"EXECUTIVE       RESTROOMS       S       3,900.00          ENTERTAINMENT       S       6,500.00          DISC       JOCKEY       S       3,431.0©          RENTALS       S34,063.00          SECURITY       GUARDS       S       1,290.00          VALET       PARKING       S       950.00          TAROT       CARD       READERS       S       1       J00.00          SIGNAGE       S       450.00T          NEON       SIGNS       S       880.00          Sale*       Tax       8.25%       S       37.13          TOTAL       INVOICE       552,801.13          DEPOSIT       DUE       9/27/99       S2S.907.00          BALANCE       DUE       11/30/99       S26.894.13",204.5,13,AMOUNT,139.0,11,-1.0,139.0
548.0,456.0,610.0,467.0,AMOUNT,other,"EXECUTIVE       RESTROOMS       S       3,900.00          ENTERTAINMENT       S       6,500.00          DISC       JOCKEY       S       3,431.0©          RENTALS       S34,063.00          SECURITY       GUARDS       S       1,290.00          VALET       PARKING       S       950.00          TAROT       CARD       READERS       S       1       J00.00          SIGNAGE       S       450.00T          NEON       SIGNS       S       880.00          Sale*       Tax       8.25%       S       37.13          TOTAL       INVOICE       552,801.13          DEPOSIT       DUE       9/27/99       S2S.907.00          BALANCE       DUE       11/30/99       S26.894.13",205.5,13,,0.0,-1,-1.0,0.0
266.0,496.0,381.0,524.0,EXHIBIT       B          DEPOSn       REQUEST,positions,"EXECUTIVE       RESTROOMS       S       3,900.00          ENTERTAINMENT       S       6,500.00          DISC       JOCKEY       S       3,431.0©          RENTALS       S34,063.00          SECURITY       GUARDS       S       1,290.00          VALET       PARKING       S       950.00          TAROT       CARD       READERS       S       1       J00.00          SIGNAGE       S       450.00T          NEON       SIGNS       S       880.00          Sale*       Tax       8.25%       S       37.13          TOTAL       INVOICE       552,801.13          DEPOSIT       DUE       9/27/99       S2S.907.00          BALANCE       DUE       11/30/99       S26.894.13",157.0,13,,0.0,-1,157.0,0.0
81.0,552.0,611.0,782.0,"EXECUTIVE       RESTROOMS       S       3,900.00          ENTERTAINMENT       S       6,500.00          DISC       JOCKEY       S       3,431.0©          RENTALS       S34,063.00          SECURITY       GUARDS       S       1,290.00          VALET       PARKING       S       950.00          TAROT       CARD       READERS       S       1       J00.00          SIGNAGE       S       450.00T          NEON       SIGNS       S       880.00          Sale*       Tax       8.25%       S       37.13          TOTAL       INVOICE       552,801.13          DEPOSIT       DUE       9/27/99       S2S.907.00          BALANCE       DUE       11/30/99       S26.894.13",positions,1       look       toward       to       speaking       with       you       iooo       1,177.0,14,,0.0,-1,177.0,0.0
81.0,837.0,281.0,851.0,1       look       toward       to       speaking       with       you       iooo       1,other,"4051       Glencoe.       Suite       7       Marina       Del       Rey,       CA       90292       310-305-8849       Fax       310-306-3829",113.0,15,2080724769,477.5,16,113.0,477.5
119.0,950.0,600.0,964.0,"4051       Glencoe.       Suite       7       Marina       Del       Rey,       CA       90292       310-305-8849       Fax       310-306-3829",supplier,,0.0,-1,,0.0,-1,0.0,0.0
649.0,827.0,668.0,919.0,2080724769,other,,0.0,-1,,0.0,-1,0.0,0.0
