xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
148.0,15.0,630.0,74.0,Lone       Haymes       &       Carr       Inc       WO       Chariots       Bivd       Box       5627       Winston-Salem       NC       27113       (919)765-3630          Advertising       &       Marketing       Member       ot       the       American       Association       ot       Advertising       Agencies          PRODUCTION       ESTIMATE,supplier,X*.       .          £.J.       Reynolds       Tobacco       Co.       Page       1       of          ^MAGNA       Date:,74.0,2,ft'-.,302.0,5,74.0,302.0
51.0,112.0,100.0,148.0,Client:          Product:,other,"Media:       Magazine       Estimate       No:          Job       Description:       ""BLUE       LIGHTNING""       -       SOFT       PACKobNo:          SIZE       D       :",52.0,3,X*.       .          £.J.       Reynolds       Tobacco       Co.       Page       1       of          ^MAGNA       Date:,227.5,2,52.0,227.5
143.0,89.0,463.0,148.0,X*.       .          £.J.       Reynolds       Tobacco       Co.       Page       1       of          ^MAGNA       Date:,other,"Media:       Magazine       Estimate       No:          Job       Description:       ""BLUE       LIGHTNING""       -       SOFT       PACKobNo:          SIZE       D       :",63.5,3,1          7/28/87          K7MSB041D4CR1          7517,238.0,4,-1.0,238.0
51.0,155.0,468.0,209.0,"Media:       Magazine       Estimate       No:          Job       Description:       ""BLUE       LIGHTNING""       -       SOFT       PACKobNo:          SIZE       D       :",other,Work       Category,107.0,8,1          7/28/87          K7MSB041D4CR1          7517,281.5,4,107.0,-1.0
483.0,115.0,599.0,196.0,1          7/28/87          K7MSB041D4CR1          7517,invoice_info,Actual,128.5,6,,0.0,-1,128.5,0.0
678.0,42.0,704.0,52.0,ft'-.,other,Difference,242.0,7,,0.0,-1,242.0,0.0
508.0,278.0,545.0,290.0,Actual,positions,"R       OF       COVER       DA'‘El          DATEi       July,       98",430.5,17,Difference,126.0,7,430.5,126.0
623.0,282.0,682.0,296.0,Difference,positions,LHC       016,688.0,18,,0.0,-1,-1.0,0.0
88.0,281.0,172.0,297.0,Work       Category,positions,TOTAL,122.5,10,Estimate,151.0,9,122.5,151.0
257.0,289.0,305.0,303.0,Estimate,positions,"Warning       revision       +       1       set          antlty       2,908,(00       inserts",187.0,11,Actual,245.5,6,187.0,245.5
57.0,405.0,102.0,418.0,TOTAL,total,"Reason       for       Revisidfa          Rl-Printing-Other       f       Added       market!       for       Discount          Printing-Other       -       Quantity       3,348,000       inserts",124.0,12,,0.0,-1,-1.0,0.0
220.0,467.0,430.0,499.0,"Warning       revision       +       1       set          antlty       2,908,(00       inserts",other,"Reason       for       Revisidfa          Rl-Printing-Other       f       Added       market!       for       Discount          Printing-Other       -       Quantity       3,348,000       inserts",52.5,12,,0.0,-1,52.5,0.0
55.0,511.0,455.0,560.0,"Reason       for       Revisidfa          Rl-Printing-Other       f       Added       market!       for       Discount          Printing-Other       -       Quantity       3,348,000       inserts",other,Requested       by,45.0,13,,0.0,-1,45.0,0.0
54.0,572.0,161.0,589.0,Requested       by,other,04-72-7150-8040-8          Authorized       by,38.0,14,,0.0,-1,38.0,0.0
54.0,602.0,203.0,635.0,04-72-7150-8040-8          Authorized       by,other,,0.0,-1,Breiuluyur,133.5,15,0.0,133.5
219.0,620.0,305.0,636.0,Breiuluyur,other,,0.0,-1,,0.0,-1,0.0,0.0
391.0,653.0,455.0,666.0,WARNING,other,,0.0,-1,,0.0,-1,0.0,0.0
469.0,700.0,608.0,729.0,"R       OF       COVER       DA'‘El          DATEi       July,       98",other,,0.0,-1,,0.0,-1,0.0,0.0
656.0,971.0,695.0,983.0,LHC       016,other,,0.0,-1,,0.0,-1,0.0,0.0
686.0,812.0,701.0,905.0,50659       3709,other,LHC       016,118.5,18,,0.0,-1,118.5,0.0
