xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
53.0,145.0,102.0,177.0,r^v       |       iK-f,supplier,Acting       Urwer       U.S.       GovernmM;       Contract       '#7405       eng       26       With       the       U.S.       Departr.cnt       of       Energy,28.5,3,UNION       CARBIDE       CORPORATION          NUCLEAR       J)lVISION          w.o.       oC‘x       r.       oak       rioc€       .       ?enmcs^t*       myi,113.0,1,-1.0,113.0
112.0,147.0,269.0,179.0,UNION       CARBIDE       CORPORATION          NUCLEAR       J)lVISION          w.o.       oC‘x       r.       oak       rioc€       .       ?enmcs^t*       myi,supplier,Acting       Urwer       U.S.       GovernmM;       Contract       '#7405       eng       26       With       the       U.S.       Departr.cnt       of       Energy,26.5,3,INVOICE,185.0,2,26.5,185.0
337.0,145.0,414.0,158.0,INVOICE,other,Acting       Urwer       U.S.       GovernmM;       Contract       '#7405       eng       26       With       the       U.S.       Departr.cnt       of       Energy,38.0,3,"ISSUE       CHECK       PAYABLE       TO.          UNION       CARBIDE       CORPORATION.       NUCLEAR       DIVISION          Government       Fund       Account          P.       0.       8~       p,       OoV       Rid       9       c,       Tennessee       37830          Attention:       Mcnsgtr       of       Acccvntin?",203.5,9,-1.0,203.5
53.0,183.0,415.0,196.0,Acting       Urwer       U.S.       GovernmM;       Contract       '#7405       eng       26       With       the       U.S.       Departr.cnt       of       Energy,other,VC       K-MI)          !•       la.jii,20.5,4,"ISSUE       CHECK       PAYABLE       TO.          UNION       CARBIDE       CORPORATION.       NUCLEAR       DIVISION          Government       Fund       Account          P.       0.       8~       p,       OoV       Rid       9       c,       Tennessee       37830          Attention:       Mcnsgtr       of       Acccvntin?",345.0,9,20.5,-1.0
59.0,203.0,106.0,217.0,VC       K-MI)          !•       la.jii,other,TO:,70.0,5,/       Certify       that       ti\a       above       bill       la       correct       and       Juaf:       that          payment       therefor       baa       not       6«en       received:       that       al!          statutory       requirements       as       to       America*       Production       *nd          Feir       /.efcnr       Standard*       Act       have       been       complied       with:          and       that       State       or       loeef       eataa       tataa       are       not       Included       In          tho       eaconts       billed.,496.0,10,70.0,496.0
72.0,274.0,96.0,286.0,TO:,receiver,L,64.5,7,r,27.0,6,-1.0,27.0
98.0,271.0,124.0,299.0,r,receiver,L,59.5,7,"THE       COUNCIL       FOR       TOBACCO       RESEARCH       USA,       INC.          ATTN:       ACCOUNTS       PAYABLE          110       EAST       59TH       STREET          NEW       YORK,       NEW       YORK       10022",166.0,8,59.5,166.0
95.0,334.0,123.0,355.0,L,invoice_info,SUPPL.       AGREEMENT       #12          COSTOvEhS       ORDER       ho.,56.0,14,"THE       COUNCIL       FOR       TOBACCO       RESEARCH       USA,       INC.          ATTN:       ACCOUNTS       PAYABLE          110       EAST       59TH       STREET          NEW       YORK,       NEW       YORK       10022",168.0,8,56.0,-1.0
137.0,285.0,417.0,340.0,"THE       COUNCIL       FOR       TOBACCO       RESEARCH       USA,       INC.          ATTN:       ACCOUNTS       PAYABLE          110       EAST       59TH       STREET          NEW       YORK,       NEW       YORK       10022",receiver,CHJnORC       lR       NO.,65.5,13,15710,272.0,21,65.5,272.0
467.0,142.0,691.0,191.0,"ISSUE       CHECK       PAYABLE       TO.          UNION       CARBIDE       CORPORATION.       NUCLEAR       DIVISION          Government       Fund       Account          P.       0.       8~       p,       OoV       Rid       9       c,       Tennessee       37830          Attention:       Mcnsgtr       of       Acccvntin?",other,/       Certify       that       ti\a       above       bill       la       correct       and       Juaf:       that          payment       therefor       baa       not       6«en       received:       that       al!          statutory       requirements       as       to       America*       Production       *nd          Feir       /.efcnr       Standard*       Act       have       been       complied       with:          and       that       State       or       loeef       eataa       tataa       are       not       Included       In          tho       eaconts       billed.,55.5,10,,0.0,-1,55.5,0.0
469.0,196.0,688.0,248.0,/       Certify       that       ti\a       above       bill       la       correct       and       Juaf:       that          payment       therefor       baa       not       6«en       received:       that       al!          statutory       requirements       as       to       America*       Production       *nd          Feir       /.efcnr       Standard*       Act       have       been       complied       with:          and       that       State       or       loeef       eataa       tataa       are       not       Included       In          tho       eaconts       billed.,other,.       Accountant,39.0,12,,0.0,-1,39.0,0.0
505.0,267.0,616.0,283.0,Union       Carbide       Corporation          Nuclear       Division,other,15710,60.0,21,,0.0,-1,60.0,0.0
633.0,257.0,688.0,265.0,.       Accountant,other,AMOUNT,199.0,27,,0.0,-1,199.0,0.0
378.0,374.0,451.0,382.0,CHJnORC       lR       NO.,invoice_info,OATS       3MIPPCO,55.5,20,3512-L-Q284Q-Q1          OU»       ACCOUNT       NO.,127.0,22,55.5,127.0
43.0,390.0,184.0,411.0,SUPPL.       AGREEMENT       #12          COSTOvEhS       ORDER       ho.,invoice_info,1.       543,22.0,17,CONTAINER       NO.,221.5,15,22.0,221.5
298.0,403.0,372.0,411.0,CONTAINER       NO.,invoice_info,OV/N       RhPCftkNCS,26.5,19,SHIPPED       VIJ,211.0,23,26.5,211.0
43.0,416.0,111.0,438.0,31       JAN       20          OATE,invoice_info,QUANTITY,33.5,25,1.       543,97.5,17,33.5,97.5
151.0,416.0,198.0,429.0,1.       543,invoice_info,INVOICE       NO.,11.5,18,,0.0,-1,11.5,0.0
161.0,431.0,222.0,437.0,INVOICE       NO.,invoice_info,"CHARACTERIZATION       OF       ANIMAL       INHALATION          EXPOSURE       DEVICES          DECEMBER,       1980",101.5,28,OV/N       RhPCftkNCS,115.0,19,-1.0,115.0
243.0,430.0,370.0,437.0,OV/N       RhPCftkNCS,invoice_info,DESCRIPTION,26.5,26,OATS       3MIPPCO,119.0,20,26.5,119.0
390.0,430.0,461.0,437.0,OATS       3MIPPCO,invoice_info,DESCRIPTION,26.5,26,O'L       NO.,125.0,24,26.5,125.0
529.0,328.0,569.0,342.0,15710,other,3512-L-Q284Q-Q1          OU»       ACCOUNT       NO.,37.0,22,,0.0,-1,37.0,0.0
489.0,362.0,594.0,382.0,3512-L-Q284Q-Q1          OU»       ACCOUNT       NO.,invoice_info,SHIPPED       VIJ,35.0,23,,0.0,-1,35.0,0.0
518.0,403.0,574.0,411.0,SHIPPED       VIJ,invoice_info,O'L       NO.,26.0,24,,0.0,-1,26.0,0.0
530.0,429.0,571.0,437.0,O'L       NO.,invoice_info,"17,945.00",97.0,29,,0.0,-1,97.0,0.0
87.0,455.0,151.0,466.0,QUANTITY,positions,TERMS*          NET       CASH          (Sea       Referee),298.5,32,DESCRIPTION,263.5,26,298.5,263.5
344.0,456.0,421.0,464.0,DESCRIPTION,positions,"CHARACTERIZATION       OF       ANIMAL       INHALATION          EXPOSURE       DEVICES          DECEMBER,       1980",75.5,28,AMOUNT,253.0,27,75.5,253.0
610.0,456.0,661.0,464.0,AMOUNT,positions,"17,945.00",84.0,30,,0.0,-1,84.0,0.0
216.0,508.0,469.0,563.0,"CHARACTERIZATION       OF       ANIMAL       INHALATION          EXPOSURE       DEVICES          DECEMBER,       1980",positions,"[O,       <t>£0",87.5,31,"17,945.00",212.5,29,87.5,212.5
522.0,523.0,588.0,537.0,"17,945.00",positions,A       Sudoei.       Account*       Receivable.,222.0,34,"17,945.00",118.0,30,222.0,118.0
640.0,536.0,706.0,552.0,"17,945.00",positions,CTR       CONTRACTS       017922,397.5,36,,0.0,-1,-1.0,0.0
421.0,611.0,483.0,635.0,"[O,       <t>£0",other,Refer       any       question*       reqardinq       this       invoice       to       NO       Finance          Tefeahcne:       Commercial       (0151       57*0008.       ns       020-0008.,133.5,33,,0.0,-1,133.5,0.0
62.0,744.0,124.0,774.0,TERMS*          NET       CASH          (Sea       Referee),other,,0.0,-1,Refer       any       question*       reqardinq       this       invoice       to       NO       Finance          Tefeahcne:       Commercial       (0151       57*0008.       ns       020-0008.,275.5,33,0.0,275.5
254.0,748.0,483.0,765.0,Refer       any       question*       reqardinq       this       invoice       to       NO       Finance          Tefeahcne:       Commercial       (0151       57*0008.       ns       020-0008.,other,CTR       CONTRACTS       017922,185.0,36,A       Sudoei.       Account*       Receivable.,180.0,34,185.0,180.0
484.0,748.0,613.0,756.0,A       Sudoei.       Account*       Receivable.,other,CTR       CONTRACTS       017922,189.5,36,,0.0,-1,-1.0,0.0
31.0,785.0,47.0,797.0,A-,other,,0.0,-1,,0.0,-1,0.0,0.0
370.0,931.0,678.0,952.0,CTR       CONTRACTS       017922,other,11237670,50.5,37,,0.0,-1,50.5,0.0
345.0,985.0,412.0,999.0,11237670,other,,0.0,-1,,0.0,-1,0.0,0.0
