xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
106.0,22.0,218.0,90.0,"Putse       /W          lVj       /’       c          f       ,       .          r/'ii       ‘.u",other,"American       Tobacco       Co.          Six       Stamford       Forum          Stamford,       CT       06904          Attn:       Chris       Burt          Re:       Carlton       Free       Tar       S       Nicotine       Kit          PO       Box       4370          P.O.       #       M13204          Report       #       17       -18          12/1/92       -       12/31/92          Orders       Processed       This       Period:       927          Service:       927       @       .21          To       Capture       Answers       to       Questions:       927       @.225          TOTAL       DUE",280.5,7,/A/       Jfec/io          l/'Hc'/       Jkwa          />V<-,140.5,1,-1.0,140.5
225.0,22.0,380.0,89.0,/A/       Jfec/io          l/'Hc'/       Jkwa          />V<-,other,($//>       */f.,49.0,4,LAZARUS,174.5,2,49.0,174.5
406.0,48.0,548.0,73.0,LAZARUS,supplier,FULFILLMENT       MOUSE,18.5,3,,0.0,-1,18.5,0.0
405.0,74.0,549.0,84.0,FULFILLMENT       MOUSE,supplier,"3530       Oceanside       Road          j?j       Oceanside,       N.Y.       11572",27.0,5,,0.0,-1,-1.0,0.0
295.0,84.0,389.0,125.0,($//>       */f.,other,"3530       Oceanside       Road          j?j       Oceanside,       N.Y.       11572",1.5,5,,0.0,-1,1.5,0.0
381.0,91.0,508.0,121.0,"3530       Oceanside       Road          j?j       Oceanside,       N.Y.       11572",supplier,"TERMS       NET       30       DAYS          INVOICE:       1609          DATE:       December       31,       1992",51.0,6,,0.0,-1,51.0,0.0
332.0,137.0,528.0,177.0,"TERMS       NET       30       DAYS          INVOICE:       1609          DATE:       December       31,       1992",invoice_info,"American       Tobacco       Co.          Six       Stamford       Forum          Stamford,       CT       06904          Attn:       Chris       Burt          Re:       Carlton       Free       Tar       S       Nicotine       Kit          PO       Box       4370          P.O.       #       M13204          Report       #       17       -18          12/1/92       -       12/31/92          Orders       Processed       This       Period:       927          Service:       927       @       .21          To       Capture       Answers       to       Questions:       927       @.225          TOTAL       DUE",179.5,7,,0.0,-1,179.5,0.0
71.0,220.0,447.0,453.0,"American       Tobacco       Co.          Six       Stamford       Forum          Stamford,       CT       06904          Attn:       Chris       Burt          Re:       Carlton       Free       Tar       S       Nicotine       Kit          PO       Box       4370          P.O.       #       M13204          Report       #       17       -18          12/1/92       -       12/31/92          Orders       Processed       This       Period:       927          Service:       927       @       .21          To       Capture       Answers       to       Questions:       927       @.225          TOTAL       DUE",other,illiliiillmhillMilrlmlllmlJlMJilJjiillliljmllM,497.0,10,$       403.25,264.0,9,-1.0,264.0
506.0,399.0,557.0,425.0,194.67          208.58,positions,$       403.25,35.5,9,,0.0,-1,35.5,0.0
489.0,441.0,557.0,454.0,$       403.25,total,illiliiillmhillMilrlmlllmlJlMJilJjiillliljmllM,386.0,10,,0.0,-1,386.0,0.0
407.0,825.0,663.0,842.0,illiliiillmhillMilrlmlllmlJlMJilJjiillliljmllM,other,516-67S-332S       212-431-3337          Fax       516-766-3100,21.5,11,,0.0,-1,21.5,0.0
415.0,844.0,531.0,866.0,516-67S-332S       212-431-3337          Fax       516-766-3100,other,,0.0,-1,,0.0,-1,0.0,0.0
