xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
169.0,28.0,220.0,42.0,Invoice,other,August       10.       1993          Clarion          Mr.       Jim       Murray          Brand       Director          The       American       Tobacco       Company          Six       Stamford       Forum          PO.       Box       10380          Stamford.       CT       06904-2380,211.5,3,Rfntil       TJi:          (Marion       Markrtins       and       Cotnmunx'aiM>n<          P.       0.       Box       77210          enroll.       Ml       48m,147.5,1,-1.0,147.5
264.0,32.0,420.0,77.0,Rfntil       TJi:          (Marion       Markrtins       and       Cotnmunx'aiM>n<          P.       0.       Box       77210          enroll.       Ml       48m,supplier,August       10.       1993          Clarion          Mr.       Jim       Murray          Brand       Director          The       American       Tobacco       Company          Six       Stamford       Forum          PO.       Box       10380          Stamford.       CT       06904-2380,192.0,3,Clarion       Morkrtm^i       and       Coinmunkaiicw          540       Jtabervkfc       Ko»d          r„       „nwK4i.       0-uw.iK'ui       060.11          2ns.ttl.3MO       FAX:       203^2.0116,212.0,2,192.0,212.0
476.0,30.0,632.0,87.0,Clarion       Morkrtm^i       and       Coinmunkaiicw          540       Jtabervkfc       Ko»d          r„       „nwK4i.       0-uw.iK'ui       060.11          2ns.ttl.3MO       FAX:       203^2.0116,supplier,New       POS.       Copy       Lines.       ISC’s       $3/5       Bounce       Back       and       S2/S8       b/b       (comps)       ADD       Shipper          ;comp/mech).       ISC       Fulfillment       (comp).       Free       Pack       Stickers       (ccmp/mech).,402.0,5,,0.0,-1,-1.0,0.0
40.0,179.0,349.0,314.0,August       10.       1993          Clarion          Mr.       Jim       Murray          Brand       Director          The       American       Tobacco       Company          Six       Stamford       Forum          PO.       Box       10380          Stamford.       CT       06904-2380,other,"Invoice       #08-0052          8208.8260,8409          Carlton       Slims",142.0,4,,0.0,-1,142.0,0.0
167.0,354.0,280.0,423.0,"Invoice       #08-0052          8208.8260,8409          Carlton       Slims",invoice_info,New       POS.       Copy       Lines.       ISC’s       $3/5       Bounce       Back       and       S2/S8       b/b       (comps)       ADD       Shipper          ;comp/mech).       ISC       Fulfillment       (comp).       Free       Pack       Stickers       (ccmp/mech).,72.0,5,,0.0,-1,72.0,0.0
167.0,445.0,626.0,476.0,New       POS.       Copy       Lines.       ISC’s       $3/5       Bounce       Back       and       S2/S8       b/b       (comps)       ADD       Shipper          ;comp/mech).       ISC       Fulfillment       (comp).       Free       Pack       Stickers       (ccmp/mech).,positions,"Design       $7,312.32          Com       prehens       ives       13.285.77          Production       800.54          Typography       1.625.00          Mechanicals       4,318.51",79.0,6,,0.0,-1,79.0,0.0
166.0,498.0,632.0,581.0,"Design       $7,312.32          Com       prehens       ives       13.285.77          Production       800.54          Typography       1.625.00          Mechanicals       4,318.51",positions,"$27,342.14          Conn,       tax-6%       1.640.53",78.0,7,,0.0,-1,78.0,0.0
166.0,603.0,632.0,632.0,"$27,342.14          Conn,       tax-6%       1.640.53",positions,"Total       Due       &       Payable       Upon       Receipt       $28,982.67",44.0,8,,0.0,-1,44.0,0.0
165.0,655.0,632.0,668.0,"Total       Due       &       Payable       Upon       Receipt       $28,982.67",total,Please       remit       to:       Clarion       Marketing       arxf       Communicators.       P.O.       Box       7720*1.       Detroit.       Ml       43278,209.5,9,,0.0,-1,209.5,0.0
164.0,864.0,608.0,878.0,Please       remit       to:       Clarion       Marketing       arxf       Communicators.       P.O.       Box       7720*1.       Detroit.       Ml       43278,supplier,,0.0,-1,,0.0,-1,0.0,0.0
