xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
565.0,103.0,589.0,110.0,•       •#;       ••,supplier,"I       k-sihln       lkiiklingslnieiiviiHHi.il       Iik.          Covington       &       Burling          1201       Pennsylvania       Avenue,       N.W.          Washington,       D.C.       20044          »NVO*CF       V'""'          P**r",74.5,1,,0.0,-1,74.5,0.0
110.0,103.0,587.0,259.0,"I       k-sihln       lkiiklingslnieiiviiHHi.il       Iik.          Covington       &       Burling          1201       Pennsylvania       Avenue,       N.W.          Washington,       D.C.       20044          »NVO*CF       V'""'          P**r",other,nrr       Mr.       John       Rupp,104.0,2,•       •#;       ••,228.5,0,104.0,228.5
80.0,277.0,211.0,293.0,nrr       Mr.       John       Rupp,receiver,r,38.0,3,"-       3751          January       9,       1991          Page       1       of       2",507.5,15,38.0,507.5
99.0,314.0,115.0,332.0,r,positions,To       the       balance       of       the       expenses       incurred       by       HBI       staff       in          completing       three       building       studies       in       Italy       in       December       1990.,75.5,5,,0.0,-1,-1.0,0.0
270.0,336.0,409.0,370.0,Italy          HBI       Building       Studies,positions,To       the       balance       of       the       expenses       incurred       by       HBI       staff       in          completing       three       building       studies       in       Italy       in       December       1990.,45.5,5,,0.0,-1,45.5,0.0
110.0,382.0,569.0,415.0,To       the       balance       of       the       expenses       incurred       by       HBI       staff       in          completing       three       building       studies       in       Italy       in       December       1990.,positions,"Note:       Prior       invoice       #3729       dated       December       19,       1990       included          inspection       costs       and       part       of       expenses.       This       invoice       covers       the          balance       of       the       outstanding       expenses.",53.5,6,,0.0,-1,53.5,0.0
110.0,428.0,570.0,476.0,"Note:       Prior       invoice       #3729       dated       December       19,       1990       included          inspection       costs       and       part       of       expenses.       This       invoice       covers       the          balance       of       the       outstanding       expenses.",positions,John       Madaris       (period       12/7/90-12/19/90),45.0,7,,0.0,-1,45.0,0.0
110.0,490.0,379.0,504.0,John       Madaris       (period       12/7/90-12/19/90),positions,Hotels,31.5,8,,0.0,-1,31.5,0.0
111.0,522.0,152.0,535.0,Hotels,positions,Hotel       Rivoli       -       Rome          Hotel       Terminus       -       Naples          Hotel       Terminus       -       Naples          Hotel       Atlantic       -       Torino,53.0,9,,0.0,-1,53.0,0.0
111.0,552.0,276.0,611.0,Hotel       Rivoli       -       Rome          Hotel       Terminus       -       Naples          Hotel       Terminus       -       Naples          Hotel       Atlantic       -       Torino,positions,"3,190,850       Lira       Q       1,150       Lira       =       $1       US          Meals       (J.       Madaris       and       P.       Paster)          as       per       American       Express       receipts          90,000       Lira          100,000       Lira          62,000       Lira          37.500       Lira          29,600       Lira          319,100       Lira",143.5,11,"875,250       Lira          464,000       Lira          668,500       Lira          1,183,100       Lira          3,190.*50       Lira",208.0,10,-1.0,208.0
353.0,551.0,450.0,627.0,"875,250       Lira          464,000       Lira          668,500       Lira          1,183,100       Lira          3,190.*50       Lira",positions,"3,190,850       Lira       Q       1,150       Lira       =       $1       US          Meals       (J.       Madaris       and       P.       Paster)          as       per       American       Express       receipts          90,000       Lira          100,000       Lira          62,000       Lira          37.500       Lira          29,600       Lira          319,100       Lira",136.0,11,,0.0,-1,136.0,0.0
111.0,642.0,452.0,808.0,"3,190,850       Lira       Q       1,150       Lira       =       $1       US          Meals       (J.       Madaris       and       P.       Paster)          as       per       American       Express       receipts          90,000       Lira          100,000       Lira          62,000       Lira          37.500       Lira          29,600       Lira          319,100       Lira",positions,"Rome,       12/10          Rome,       12/11          Naples,       12/14          Naples,       12/15          Florence,       12/16",31.5,12,"$2,774.65",388.0,16,31.5,388.0
112.0,719.0,218.0,794.0,"Rome,       12/10          Rome,       12/11          Naples,       12/14          Naples,       12/15          Florence,       12/16",positions,"319,100       Lira       £       1,150       Lira       =       $1       US          Miscellaneous",87.5,13,"3,190,850       Lira       Q       1,150       Lira       =       $1       US          Meals       (J.       Madaris       and       P.       Paster)          as       per       American       Express       receipts          90,000       Lira          100,000       Lira          62,000       Lira          37.500       Lira          29,600       Lira          319,100       Lira",116.5,11,87.5,116.5
113.0,822.0,354.0,866.0,"319,100       Lira       £       1,150       Lira       =       $1       US          Miscellaneous",other,"Cash       receipts       for       meals,       taxis,       gas,       parking,       lunches,          etc.       as       per       attached       analysis",56.5,14,$       277.48          $       547.94,439.0,17,56.5,-1.0
112.0,884.0,477.0,917.0,"Cash       receipts       for       meals,       taxis,       gas,       parking,       lunches,          etc.       as       per       attached       analysis",positions,,0.0,-1,$       277.48          $       547.94,378.0,17,0.0,378.0
598.0,214.0,708.0,290.0,"-       3751          January       9,       1991          Page       1       of       2",invoice_info,"$2,774.65",396.5,16,,0.0,-1,396.5,0.0
638.0,641.0,701.0,656.0,"$2,774.65",total,$       277.48          $       547.94,217.0,17,,0.0,-1,217.0,0.0
643.0,820.0,702.0,911.0,$       277.48          $       547.94,positions,2p29377288,84.5,18,,0.0,-1,84.5,0.0
564.0,937.0,703.0,963.0,2p29377288,other,,0.0,-1,,0.0,-1,0.0,0.0
