xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
641.0,963.0,724.0,976.0,Til       631-0543,other,,0.0,-1,,0.0,-1,0.0,0.0
208.0,106.0,534.0,119.0,POLITICAL       CAMPAIGN       CONTRIBUTION       REQUEST,other,State       or       Local:       State,52.5,3,,0.0,-1,52.5,0.0
58.0,160.0,226.0,175.0,"Date:       July       21,       1994",invoice_info,Name:,107.5,4,State       or       Local:       State,382.5,3,107.5,382.5
432.0,159.0,617.0,171.0,State       or       Local:       State,invoice_info,RECIPIENT       INFORMATION          *Biac—for       Barbara       Marumoto,87.5,5,,0.0,-1,87.5,0.0
57.0,269.0,97.0,281.0,Name:,receiver,Address:,40.0,6,RECIPIENT       INFORMATION          *Biac—for       Barbara       Marumoto,271.5,5,40.0,271.5
239.0,226.0,458.0,279.0,RECIPIENT       INFORMATION          *Biac—for       Barbara       Marumoto,receiver,"P.O.       Box       2274          Honolulu,       HI       96804          Representative       D-17          Republican          Assistant       GOP       Floor       Leader          Finance",143.0,8,,0.0,-1,143.0,0.0
56.0,309.0,122.0,321.0,Address:,receiver,Current       Office          and       District:          Aspired       Office          and       District:          Party          Leadership       Position:          Committees:,101.5,7,"P.O.       Box       2274          Honolulu,       HI       96804          Representative       D-17          Republican          Assistant       GOP       Floor       Leader          Finance",258.0,8,101.5,-1.0
55.0,349.0,222.0,484.0,Current       Office          and       District:          Aspired       Office          and       District:          Party          Leadership       Position:          Committees:,receiver,Amount:       $100.00       Account       Code:       1401-7710-HI01          Check       Pay       to:       Tice       for       Barbara       Marumoto          Address:,195.5,10,"P.O.       Box       2274          Honolulu,       HI       96804          Representative       D-17          Republican          Assistant       GOP       Floor       Leader          Finance",208.5,8,-1.0,208.5
238.0,308.0,456.0,483.0,"P.O.       Box       2274          Honolulu,       HI       96804          Representative       D-17          Republican          Assistant       GOP       Floor       Leader          Finance",receiver,CONTRIBUTION       INFORMATION,148.5,9,,0.0,-1,148.5,0.0
268.0,538.0,468.0,550.0,CONTRIBUTION       INFORMATION,other,Amount:       $100.00       Account       Code:       1401-7710-HI01          Check       Pay       to:       Tice       for       Barbara       Marumoto          Address:,68.0,10,,0.0,-1,68.0,0.0
54.0,577.0,673.0,647.0,Amount:       $100.00       Account       Code:       1401-7710-HI01          Check       Pay       to:       Tice       for       Barbara       Marumoto          Address:,other,(Only       if       different       from       address       above)          Notes:          (Date       needed;       fundraiser       dato;       othor       information),90.0,11,,0.0,-1,90.0,0.0
55.0,673.0,476.0,731.0,(Only       if       different       from       address       above)          Notes:          (Date       needed;       fundraiser       dato;       othor       information),other,Approved       by:,62.5,12,,0.0,-1,62.5,0.0
54.0,757.0,152.0,772.0,Approved       by:,other,,0.0,-1,(Regional       Vice       President's       signature),290.0,13,0.0,290.0
240.0,763.0,546.0,784.0,(Regional       Vice       President's       signature),other,(Senior       Vice       President's       signature),54.5,14,,0.0,-1,54.5,0.0
245.0,818.0,537.0,838.0,(Senior       Vice       President's       signature),other,,0.0,-1,,0.0,-1,0.0,0.0
