xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
222.0,184.0,485.0,268.0,"THOMAS       E.       SMITH,       JR.          ATTORNEY       AT       LAW          512       SOUTH       WALNUT       STREET          P.O.       BOX       308          PAMPLICO,       SOUTH       CAROLINA       29583          (803)       493-5122",supplier,Philip       Morris       U.S.A.,62.5,1,,0.0,-1,62.5,0.0
85.0,281.0,314.0,296.0,Philip       Morris       U.S.A.,receiver,Henry       Turner,14.0,5,FILE       #:,178.0,2,14.0,178.0
314.0,281.0,441.0,296.0,FILE       #:,invoice_info,Henry       Turner,14.0,5,2432-89-01       AS       OF:,163.0,3,14.0,163.0
441.0,281.0,640.0,296.0,2432-89-01       AS       OF:,invoice_info,PAGE       #,14.0,6,06/01/96,136.0,4,14.0,136.0
640.0,281.0,713.0,296.0,06/01/96,invoice_info,PAGE       #,14.0,6,,0.0,-1,14.0,0.0
85.0,296.0,314.0,309.0,Henry       Turner,receiver,Three       Ravinia       Drive,13.5,8,PAGE       #,341.0,6,13.5,341.0
441.0,296.0,640.0,309.0,PAGE       #,invoice_info,RE:,13.5,9,1,136.0,7,13.5,136.0
640.0,296.0,713.0,309.0,1,invoice_info,Retainer       fee,13.5,10,,0.0,-1,13.5,0.0
85.0,309.0,314.0,323.0,Three       Ravinia       Drive,receiver,Suite       1560,14.0,11,RE:,178.0,9,14.0,178.0
314.0,309.0,441.0,323.0,RE:,invoice_info,Suite       1560,14.0,11,Retainer       fee,163.0,10,14.0,163.0
441.0,309.0,640.0,323.0,Retainer       fee,invoice_info,i,14.0,12,,0.0,-1,14.0,0.0
85.0,323.0,314.0,337.0,Suite       1560,receiver,"Atlanta,       GA       30346",14.5,13,i,341.0,12,14.5,341.0
441.0,323.0,640.0,337.0,i,invoice_info,SERVICE       TIME       AMOUNT,56.5,14,,0.0,-1,-1.0,0.0
85.0,337.0,314.0,352.0,"Atlanta,       GA       30346",receiver,SERVICE       TIME       AMOUNT,42.0,14,,0.0,-1,42.0,0.0
206.0,381.0,706.0,392.0,SERVICE       TIME       AMOUNT,positions,"Retainer       for       June,       1996.          *       TOTAL       SERVICES       RENDERED       6,666.67",57.0,15,,0.0,-1,57.0,0.0
205.0,422.0,705.0,465.0,"Retainer       for       June,       1996.          *       TOTAL       SERVICES       RENDERED       6,666.67",positions,".00          6,666.67",64.0,18,,0.0,-1,64.0,0.0
37.0,367.0,181.0,437.0,ATTORNEY          DATE       OR       STAFF          06/01/96       TES,positions,,0.0,-1,"Retainer       for       June,       1996.          *       TOTAL       SERVICES       RENDERED       6,666.67",346.0,15,0.0,346.0
316.0,494.0,458.0,534.0,PREVIOUS       BALANCE:          CURRENT       CHARGES:          LESS       PAYMENTS:,positions,TOTAL       AMOUNT       DUE:,42.5,20,".00          6,666.67",284.5,18,42.5,284.5
638.0,494.0,705.0,521.0,".00          6,666.67",positions,.00,21.0,19,,0.0,-1,21.0,0.0
682.0,523.0,705.0,534.0,.00,positions,"$6,666.67",27.5,21,,0.0,-1,27.5,0.0
316.0,551.0,458.0,562.0,TOTAL       AMOUNT       DUE:,total,,0.0,-1,"$6,666.67",280.5,21,0.0,280.5
627.0,548.0,708.0,564.0,"$6,666.67",total,,0.0,-1,,0.0,-1,0.0,0.0
