xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
262.0,30.0,439.0,45.0,FISH       <&       N       EAVE,supplier,Total       Expenses,142.0,2,,0.0,-1,142.0,0.0
491.0,81.0,626.0,127.0,April       25/       1988          Statement       99916197          Pagei       2,invoice_info,.20,78.5,3,,0.0,-1,78.5,0.0
212.0,173.0,321.0,186.0,Total       Expenses,total,Total       for       thla       Matter       $       103.10       ^,47.0,4,.20,341.5,3,-1.0,341.5
597.0,177.0,619.0,188.0,.20,total,Total       for       thla       Matter       $       103.10       ^,44.0,4,,0.0,-1,44.0,0.0
134.0,218.0,640.0,235.0,Total       for       thla       Matter       $       103.10       ^,total,PTR-0055          PtN       Matter       0134S.020          March          17/24/       1988          Roviow       of       issued       patont       and       tranoraittal       to          Messrs.       Bass       and       Mandiratta;       roviow       of       certified          patent       copy       and       transmittal       to       Australian          associate.,107.0,5,,0.0,-1,107.0,0.0
62.0,266.0,493.0,401.0,PTR-0055          PtN       Matter       0134S.020          March          17/24/       1988          Roviow       of       issued       patont       and       tranoraittal       to          Messrs.       Bass       and       Mandiratta;       roviow       of       certified          patent       copy       and       transmittal       to       Australian          associate.,positions,Total       Fees       for       Services       $       183.00          To       Expensoo          Cantwoll       and       Paxton       January       21/       1988       $       10.00          Air       Expross       $       44.00          Photocopioo       $       13.00          Postage       $       32.91          Total       Expenses       $       99.91,162.0,6,,0.0,-1,162.0,0.0
133.0,419.0,618.0,572.0,Total       Fees       for       Services       $       183.00          To       Expensoo          Cantwoll       and       Paxton       January       21/       1988       $       10.00          Air       Expross       $       44.00          Photocopioo       $       13.00          Postage       $       32.91          Total       Expenses       $       99.91,positions,Total       for       this       Matter,112.5,7,,0.0,-1,112.5,0.0
133.0,602.0,288.0,614.0,Total       for       this       Matter,total,"FTR-0068          P&N       Matter       01345.023          February          25,26,       1988          Review,       and       transmittal       to       Hr.       Mandiratta       of          recorded       assignment       and       Notice       of       Recordatilon.",94.5,9,S       282.91       /,365.0,8,94.5,365.0
521.0,602.0,630.0,618.0,S       282.91       /,total,Total       Fees       for       Servicos       $       87.90          To       Expenses          Photocopies       $       .60          Total       Expenses       $       .60,217.5,11,,0.0,-1,-1.0,0.0
60.0,648.0,492.0,757.0,"FTR-0068          P&N       Matter       01345.023          February          25,26,       1988          Review,       and       transmittal       to       Hr.       Mandiratta       of          recorded       assignment       and       Notice       of       Recordatilon.",positions,Total       Fees       for       Servicos       $       87.90          To       Expenses          Photocopies       $       .60          Total       Expenses       $       .60,125.0,11,,0.0,-1,125.0,0.0
658.0,823.0,673.0,885.0,O          »-*          to          CO          O'          ro          ■o,other,,0.0,-1,,0.0,-1,0.0,0.0
133.0,773.0,616.0,882.0,Total       Fees       for       Servicos       $       87.90          To       Expenses          Photocopies       $       .60          Total       Expenses       $       .60,other,,0.0,-1,O          »-*          to          CO          O'          ro          ■o,291.0,10,0.0,291.0
