xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
168.0,15.0,378.0,74.0,webcraft,supplier,P.0       Box       23224A          Newark.       NJ       07889,71.5,1,mmlet          130030,333.5,2,71.5,333.5
167.0,99.0,285.0,133.0,P.0       Box       23224A          Newark.       NJ       07889,supplier,£       6       Stamford       Forum          Stamford.       CT       C6904          Ann       Chris       Bun,126.0,6,Date          September       22.       1994          Your          Order       No.,358.0,3,-1.0,358.0
548.0,25.0,665.0,63.0,mmlet          130030,other,Date          September       22.       1994          Your          Order       No.,68.0,3,,0.0,-1,68.0,0.0
502.0,86.0,666.0,138.0,Date          September       22.       1994          Your          Order       No.,invoice_info,'Dai*       supped       snp^rvr;,167.0,16,,0.0,-1,167.0,0.0
19.0,200.0,35.0,218.0,S          O,receiver,£       6       Stamford       Forum          Stamford.       CT       C6904          Ann       Chris       Bun,33.0,6,American       Tobacco,81.5,5,33.0,81.5
52.0,200.0,165.0,217.0,American       Tobacco,receiver,£       6       Stamford       Forum          Stamford.       CT       C6904          Ann       Chris       Bun,33.5,6,s          H          I          P          T          O,327.0,8,-1.0,327.0
21.0,218.0,179.0,266.0,£       6       Stamford       Forum          Stamford.       CT       C6904          Ann       Chris       Bun,receiver,T          O,13.5,7,s          H          I          P          T          O,335.5,8,13.5,-1.0
18.0,246.0,31.0,265.0,T          O,receiver,86*,32.5,9,£       6       Stamford       Forum          Stamford.       CT       C6904          Ann       Chris       Bun,75.5,6,-1.0,75.5
427.0,200.0,444.0,265.0,s          H          I          P          T          O,other,Destination,57.0,15,,0.0,-1,-1.0,0.0
9.0,272.0,66.0,304.0,86*,positions,Quantity          Ordered,31.0,17,86440/41,38.5,10,31.0,38.5
48.0,271.0,104.0,298.0,86440/41,positions,86*,3.5,9,S.       Katz,94.0,11,3.5,94.0
133.0,272.0,207.0,298.0,S.       Katz,positions,Authorized       By:       Chris       Bun          60*       Sterling       Gloss       Test          70*       Sterling       Gloss       Test,106.0,23,lern.k,106.0,12,-1.0,106.0
261.0,272.0,291.0,283.0,lern.k,positions,20       Days,13.5,14,TUT,114.0,13,13.5,-1.0
375.0,272.0,405.0,283.0,TUT,positions,Destination,12.0,15,'Dai*       supped       snp^rvr;,161.5,16,12.0,-1.0
287.0,282.0,341.0,300.0,20       Days,positions,Authorized       By:       Chris       Bun          60*       Sterling       Gloss       Test          70*       Sterling       Gloss       Test,100.0,23,TUT,76.0,13,100.0,76.0
404.0,282.0,475.0,297.0,Destination,positions,l/nlt       Plic*       Unit,30.5,18,'Dai*       supped       snp^rvr;,112.0,16,30.5,112.0
479.0,272.0,624.0,286.0,'Dai*       supped       snp^rvr;,positions,Aimiunt,40.5,19,,0.0,-1,40.5,0.0
45.0,309.0,91.0,329.0,Quantity          Ordered,positions,10.000,72.5,20,l/nlt       Plic*       Unit,432.0,18,72.5,432.0
451.0,315.0,549.0,325.0,l/nlt       Plic*       Unit,positions,Thi*       invoice       U       autycct       to       the       terms       and       conditions       printed       on       the       face       and       reverse       side       of       our       Confirmation       and       Production       Order.          IVEBCR4FT:       TECHNOLOGY       THAT       SUPPORTS       CREATIVITY,557.0,30,Aimiunt,125.5,19,-1.0,125.5
604.0,314.0,647.0,325.0,Aimiunt,positions,"$4,6-13",216.5,26,,0.0,-1,216.5,0.0
22.0,385.0,67.0,398.0,10.000,positions,10.000,33.5,21,Authorized       By:       Chris       Bun          60*       Sterling       Gloss       Test          70*       Sterling       Gloss       Test,184.0,23,33.5,184.0
21.0,418.0,66.0,432.0,10.000,positions,V,422.5,22,Authorized       By:       Chris       Bun          60*       Sterling       Gloss       Test          70*       Sterling       Gloss       Test,185.0,23,422.5,-1.0
