xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
87.0,101.0,172.0,130.0,Riggs,supplier,08-219-752       PAGE       1          STATEMENT       PERIOD       01-01-1999       THROUGH       01-15-1999,189.5,4,Statement,389.5,1,-1.0,389.5
474.0,106.0,564.0,118.0,Statement,supplier,08-219-752       PAGE       1          STATEMENT       PERIOD       01-01-1999       THROUGH       01-15-1999,193.0,4,,0.0,-1,-1.0,0.0
599.0,190.0,608.0,202.0,0,receiver,08-219-752       PAGE       1          STATEMENT       PERIOD       01-01-1999       THROUGH       01-15-1999,109.0,4,,0.0,-1,-1.0,0.0
229.0,220.0,452.0,259.0,THE       TOBACCO       INST       INC          1875       EYE       ST       NW          WASHINGTON       DC       20006,receiver,08-219-752       PAGE       1          STATEMENT       PERIOD       01-01-1999       THROUGH       01-15-1999,65.5,4,,0.0,-1,65.5,0.0
123.0,285.0,608.0,325.0,08-219-752       PAGE       1          STATEMENT       PERIOD       01-01-1999       THROUGH       01-15-1999,other,INTEREST       CHECKING       SUMMARY,38.0,5,,0.0,-1,38.0,0.0
264.0,337.0,469.0,349.0,INTEREST       CHECKING       SUMMARY,other,"2,835,943.34       ACCOUNT       #          2,726,028.00       #       OF       ENCLOSURES          2,067,499.67       AVERAGE       BALANCE          362,531.06          3,131,940.61          INTEREST       CHECKING       ACTIVITY",60.0,7,,0.0,-1,60.0,0.0
124.0,364.0,228.0,421.0,OPENING       BALANCE          ♦DEPOSITS          -CHECKS          -OTHER       DEBITS          -NEW       BALANCE,other,DEPOSITS,73.5,9,"2,835,943.34       ACCOUNT       #          2,726,028.00       #       OF       ENCLOSURES          2,067,499.67       AVERAGE       BALANCE          362,531.06          3,131,940.61          INTEREST       CHECKING       ACTIVITY",195.5,7,73.5,195.5
255.0,362.0,488.0,444.0,"2,835,943.34       ACCOUNT       #          2,726,028.00       #       OF       ENCLOSURES          2,067,499.67       AVERAGE       BALANCE          362,531.06          3,131,940.61          INTEREST       CHECKING       ACTIVITY",other,DATE,63.0,10,08-219-752          0          .00,212.5,8,63.0,212.5
549.0,362.0,619.0,396.0,08-219-752          0          .00,other,AMOUNT,87.0,14,,0.0,-1,87.0,0.0
124.0,457.0,192.0,475.0,DEPOSITS,positions,REF       01,20.5,15,DATE,75.0,10,20.5,75.0
192.0,457.0,274.0,475.0,DATE,positions,REF       01,20.5,15,AMOUNT,80.0,11,20.5,80.0
274.0,457.0,352.0,475.0,AMOUNT,positions,"01-11^2,",20.5,16,DEPOSITS,96.0,12,20.5,96.0
352.0,457.0,466.0,475.0,DEPOSITS,positions,"726,028.00",20.5,17,DATE,92.5,13,20.5,92.5
466.0,457.0,537.0,475.0,DATE,positions,CHECKS,43.5,21,AMOUNT,77.0,14,43.5,77.0
537.0,457.0,620.0,475.0,AMOUNT,positions,DATE,43.5,22,,0.0,-1,43.5,0.0
124.0,475.0,192.0,498.0,REF       01,positions,CHECKS,23.0,18,"01-11^2,",75.0,16,23.0,75.0
192.0,475.0,274.0,498.0,"01-11^2,",positions,CHECKS,23.0,18,"726,028.00",80.0,17,23.0,80.0
274.0,475.0,352.0,498.0,"726,028.00",positions,DATE,23.0,19,,0.0,-1,23.0,0.0
124.0,498.0,192.0,521.0,CHECKS,positions,35656,20.0,24,DATE,75.0,19,20.0,75.0
192.0,498.0,274.0,521.0,DATE,positions,35656,20.0,24,AMOUNT,80.0,20,20.0,80.0
274.0,498.0,352.0,521.0,AMOUNT,positions,01-07,20.0,25,CHECKS,96.0,21,20.0,96.0
352.0,498.0,466.0,521.0,CHECKS,positions,"15,625.00",20.0,26,DATE,92.5,22,20.0,92.5
466.0,498.0,537.0,521.0,DATE,positions,*       36434,20.0,27,AMOUNT,77.0,23,20.0,77.0
537.0,498.0,620.0,521.0,AMOUNT,positions,01-08,20.0,28,,0.0,-1,20.0,0.0
124.0,521.0,192.0,538.0,35656,positions,*       35688,14.0,30,01-07,75.0,25,14.0,75.0
192.0,521.0,274.0,538.0,01-07,positions,*       35688,14.0,30,"15,625.00",80.0,26,14.0,80.0
274.0,521.0,352.0,538.0,"15,625.00",positions,01-15,14.0,31,*       36434,96.0,27,14.0,96.0
352.0,521.0,466.0,538.0,*       36434,positions,"5,000.00",14.0,32,01-08,92.5,28,14.0,92.5
466.0,521.0,537.0,538.0,01-08,positions,*       36436,14.0,33,685.35,77.0,29,14.0,77.0
537.0,521.0,620.0,538.0,685.35,positions,01-06,14.0,34,,0.0,-1,14.0,0.0
124.0,538.0,192.0,549.0,*       35688,positions,35689,11.5,36,01-15,75.0,31,11.5,75.0
192.0,538.0,274.0,549.0,01-15,positions,35689,11.5,36,"5,000.00",80.0,32,11.5,80.0
