xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
691.0,714.0,705.0,799.0,fr299<i6fr902,other,,0.0,-1,,0.0,-1,0.0,0.0
83.0,93.0,149.0,106.0,PAGE;       1,other,"SMT       PR       DUTY       FREE,       INC.          PASEO       CONCEPCION       DE       GRACIA          PIER       #       1          SAN       JUAN,       PR       00901-1602          (787)       725-6064          Philip       Morris       Sales,       Inc.          P.O.       Box       1609          Guaynabo       PR       00970          CONTACT:       Mr.       Jose       Borgos",183.5,3,*****       INVOICE       *****,489.5,2,183.5,489.5
526.0,96.0,685.0,109.0,*****       INVOICE       *****,other,INVOICE       NUMBER:          INVOICE       DATE:,124.5,4,,0.0,-1,124.5,0.0
80.0,205.0,341.0,361.0,"SMT       PR       DUTY       FREE,       INC.          PASEO       CONCEPCION       DE       GRACIA          PIER       #       1          SAN       JUAN,       PR       00901-1602          (787)       725-6064          Philip       Morris       Sales,       Inc.          P.O.       Box       1609          Guaynabo       PR       00970          CONTACT:       Mr.       Jose       Borgos",other,SALES       CD       DESCRIPTION       .       QUANTITY       PRICE       AMOUNT,98.5,8,INVOICE       NUMBER:          INVOICE       DATE:,275.5,4,-1.0,275.5
424.0,207.0,548.0,247.0,INVOICE       NUMBER:          INVOICE       DATE:,invoice_info,SALESPERSON:       HOUS          CUSTOMER       NO:       20-PHILIP          CUSTOMER       P.O.:,56.5,6,0004217-IN          08/28/98,114.5,5,-1.0,114.5
557.0,208.0,644.0,249.0,0004217-IN          08/28/98,invoice_info,SALESPERSON:       HOUS          CUSTOMER       NO:       20-PHILIP          CUSTOMER       P.O.:,55.0,6,,0.0,-1,55.0,0.0
431.0,263.0,633.0,304.0,SALESPERSON:       HOUS          CUSTOMER       NO:       20-PHILIP          CUSTOMER       P.O.:,invoice_info,SHIP       VIA:          TERMS:          Net       30       Days,57.0,7,,0.0,-1,57.0,0.0
447.0,319.0,547.0,362.0,SHIP       VIA:          TERMS:          Net       30       Days,invoice_info,SALES       CD       DESCRIPTION       .       QUANTITY       PRICE       AMOUNT,41.0,8,,0.0,-1,41.0,0.0
30.0,373.0,683.0,390.0,SALES       CD       DESCRIPTION       .       QUANTITY       PRICE       AMOUNT,positions,"Sales       Advertising       Division       5,000.00          Light       Box       Pier       #       4       Outdoor       Terrace          Size:       34       1/2""       W       x       46       1/2""       H          Covering       Period:          February       1,       1998       thru       January       31,       1999",63.0,9,,0.0,-1,63.0,0.0
104.0,400.0,682.0,489.0,"Sales       Advertising       Division       5,000.00          Light       Box       Pier       #       4       Outdoor       Terrace          Size:       34       1/2""       W       x       46       1/2""       H          Covering       Period:          February       1,       1998       thru       January       31,       1999",positions,THANK       YOU       FOR       YOUR       BUSINESS!,230.0,10,,0.0,-1,230.0,0.0
168.0,668.0,401.0,681.0,THANK       YOU       FOR       YOUR       BUSINESS!,other,«Office:       m       I.CWS«J«*ftrt>&D0W0!       H       <9J9)72S60MFa«#)?M*4i       USCftte:       10556NW       26*       S\Mo*A.33172       fcL(305)<770515Fa       OOS)4770422,264.0,13,,0.0,-1,-1.0,0.0
475.0,825.0,678.0,867.0,"NET       INVOICE:       5,000.00          FREIGHT:       .00          SALES       TAX:       .00",total,"INVOICE       TOTAL:       5,000.00",42.0,12,,0.0,-1,42.0,0.0
459.0,880.0,677.0,896.0,"INVOICE       TOTAL:       5,000.00",total,«Office:       m       I.CWS«J«*ftrt>&D0W0!       H       <9J9)72S60MFa«#)?M*4i       USCftte:       10556NW       26*       S\Mo*A.33172       fcL(305)<770515Fa       OOS)4770422,50.5,13,,0.0,-1,50.5,0.0
40.0,929.0,677.0,948.0,«Office:       m       I.CWS«J«*ftrt>&D0W0!       H       <9J9)72S60MFa«#)?M*4i       USCftte:       10556NW       26*       S\Mo*A.33172       fcL(305)<770515Fa       OOS)4770422,supplier,,0.0,-1,,0.0,-1,0.0,0.0
